"salchan1_name","chan3_name","chan2_name","chan1_name","sales1_name","dma1_name"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CHATTANOOGA-TN"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CHEYENNE- WY"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CHICAGO-IL"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CHICO/REDDING-CA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CINCINNATI-OH"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CLARKSBURG-WV"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CLEVELAND-OH"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","COLORADO SPRINGS-CO"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","COLUMBIA-SC"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","COLUMBIA/JEFFERSON CITY-MO"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","COLUMBUS-GA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","COLUMBUS-OH"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","COLUMBUS/TUPELO/WESTPOINT-MS"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CORPUS CHRISTI-TX"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","DALLAS-TX"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","DAVENPORT-IA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","DAYTON-OH"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","DENVER-CO"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","DES MOINES-IA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","DETROIT-MI"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","DOTHAN-AL"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","DULUTH-MN"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","EL PASO-TX"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ELMIRA-NY"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ERIE-PA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","EUGENE-OR"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","EUREKA-CA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","EVANSVILLE-IN"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","FAIRBANKS-AK"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","FARGO-ND"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","FAYETTEVILLE/FT.SMIT-AR"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","FLAGSTAFF-AZ"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","FLINT/SAGINAW-BAY CITY-MI"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","FLORENCE/MYRTLE BEACH-SC"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","FORT MYERS/NAPLES-FL"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","FORT WAYNE-IN"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","FRESNO/VISALIA-CA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GAINESVILLE-FL"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GLENDIVE-MT"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GRAND JUNCTION/MONTROSE-CO"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GRAND RAPIDS/KALAMAZOO-MI"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GREAT FALLS-MT"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GREEN BAY/APPLETON-WI"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GREENSBORO-NC"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GREENVILLE-NC"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GREENVILLE-SC"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","GREENWOOD-MS"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","HARRISBURG/LANCASTER-PA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","HARRISONBURG-VA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","HATTIESBURG/LAUREL-MS"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","HELENA-MT"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","HONOLULU-HI"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","HOUSTON-TX"
